request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,Pay IDR 10621000 today. Forecast keeps at least IDR 13994300 available.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,Use the supplied installment schedule starting 2025-08-03. Forecast keeps at least EUR 900 available.
request_207,4500.84,affordable_later,wait,2026-07-15:11830,2026-07-15,none,Wait until 2026-07-15 to pay ZAR 11830 safely. Forecast keeps at least ZAR 13600 available.
request_208,3059490.22,affordable_later,wait,2024-06-14:4413000,2024-06-14,none,Wait until 2024-06-14 to pay IDR 4413000 safely. Forecast keeps at least IDR 10470700 available.
request_209,1687.64,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least ZAR 18400 available.
request_210,985.47,affordable_with_plan,partial_payment,2026-04-06:985.47|2026-04-14:374.55,2026-04-14,none,Pay USD 985.47 today and the balance on 2026-04-14. Forecast keeps at least USD 2000 available.
request_211,270.95,not_affordable,not_recommended,none,2024-11-16,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 1500 available.
request_212,6144043.07,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least IDR 29579800 available.
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,Use the supplied installment schedule starting 2026-01-21. Forecast keeps at least USD 2100 available.
request_214,46815.23,affordable_with_plan,partial_payment,2024-12-04:46815.23|2024-12-16:22934.77,2024-12-16,none,Pay INR 46815.23 today and the balance on 2024-12-16. Forecast keeps at least INR 174900 available.
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,Use the supplied installment schedule starting 2025-05-09. Forecast keeps at least ZAR 15700 available.
request_216,483.86,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least USD 1800 available.
request_217,19879.35,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-14,none,Use the supplied installment schedule starting 2024-03-19. Forecast keeps at least ZAR 26800 available.
request_218,25892752.03,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,Use the supplied installment schedule starting 2025-08-07. Forecast keeps at least IDR 34477200 available.
request_219,1350.1,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-14,none,Use the supplied installment schedule starting 2026-04-07. Forecast keeps at least EUR 1100 available.
request_220,52.1,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 1100 available.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,Pay INR 109800 today. Forecast keeps at least INR 81500 available.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,Pay ZAR 34078 today. Forecast keeps at least ZAR 27300 available.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,Pay EUR 898.7 today. Forecast keeps at least EUR 800 available.
request_224,9604944.66,affordable_with_plan,partial_payment,2025-02-04:9604944.66|2025-02-14:722055.34,2025-02-14,none,Pay IDR 9604944.66 today and the balance on 2025-02-14. Forecast keeps at least IDR 22187600 available.
request_225,9535064.78,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-13,none,Use the supplied installment schedule starting 2026-07-20. Forecast keeps at least IDR 17670700 available.
request_226,140980.03,not_affordable,not_recommended,none,2025-02-21,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least INR 209400 available.
request_227,6573.3,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least INR 62900 available.
request_228,6300287.49,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least IDR 26191200 available.
request_229,390.72,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-18,none,Use the supplied installment schedule starting 2024-03-18. Forecast keeps at least EUR 1000 available.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,Pay EUR 3537.6 today. Forecast keeps at least EUR 2000 available.
request_231,31974.97,not_affordable,not_recommended,none,2026-02-15,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least ZAR 24300 available.
request_232,695.7,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 2400 available.
request_233,0.0,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least IDR 10365700 available.
request_234,184.53,affordable_later,wait,2026-09-13:1213.3,2026-09-13,none,Wait until 2026-09-13 to pay EUR 1213.3 safely. Forecast keeps at least EUR 700 available.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,Pay USD 967.2 today. Forecast keeps at least USD 700 available.
request_236,5999077.82,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least IDR 16768600 available.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,Pay IDR 23826000 today. Forecast keeps at least IDR 22431500 available.
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,Use the supplied installment schedule starting 2024-12-07. Forecast keeps at least USD 700 available.
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. Forecast keeps at least USD 600 available.
request_240,14123.82,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least INR 52800 available.
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,Use the supplied installment schedule starting 2024-03-17. Forecast keeps at least IDR 19252000 available.
request_242,0.0,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 600 available.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,Pay ZAR 17468 today. Forecast keeps at least ZAR 19900 available.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,Pay ZAR 49918 today. Forecast keeps at least ZAR 45900 available.
request_245,30178.43,affordable_later,wait,2026-01-13:128500,2026-01-13,none,Wait until 2026-01-13 to pay INR 128500 safely. Forecast keeps at least INR 94600 available.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,Use the supplied installment schedule starting 2026-04-03. Forecast keeps at least ZAR 39300 available.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,Pay EUR 1059.3 today. Forecast keeps at least EUR 1300 available.
request_248,1131.93,affordable_with_plan,partial_payment,2025-02-07:1131.93|2025-03-19:833.67,2025-03-19,none,Pay USD 1131.93 today and the balance on 2025-03-19. Forecast keeps at least USD 1300 available.
request_249,129.91,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,Wait until 2026-03-15 to pay USD 643.2 safely. Forecast keeps at least USD 600 available.
request_250,15777.63,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least ZAR 35300 available.
request_251,1513.6,not_affordable,not_recommended,none,2025-05-03,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 1300 available.
request_252,3734592.38,affordable_later,wait,2026-09-13:28082000,2026-09-13,none,Wait until 2026-09-13 to pay IDR 28082000 safely. Forecast keeps at least IDR 15152200 available.
request_253,1364.18,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-18,none,Use the supplied installment schedule starting 2024-03-21. Forecast keeps at least EUR 2300 available.
request_254,871.67,affordable_later,wait,2025-10-13:3535.2,2025-10-13,none,Wait until 2025-10-13 to pay USD 3535.2 safely. Forecast keeps at least USD 2500 available.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,Pay IDR 3345000 today. Forecast keeps at least IDR 9813900 available.
request_256,160667.51,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-14,none,Use the supplied installment schedule starting 2024-06-10. Forecast keeps at least INR 168600 available.
request_257,359.49,not_affordable,not_recommended,none,2026-01-16,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least USD 1600 available.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,Pay USD 1113.6 today. Forecast keeps at least USD 500 available.
request_259,447.88,affordable_later,wait,2024-11-13:935,2024-11-13,none,Wait until 2024-11-13 to pay EUR 935 safely. Forecast keeps at least EUR 600 available.
request_260,7313125.3,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least IDR 20727700 available.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,Pay EUR 1830.4 today. Forecast keeps at least EUR 1500 available.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,Pay IDR 9236000 today. Forecast keeps at least IDR 31018500 available.
request_263,6184.13,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least ZAR 24100 available.
request_264,22367.62,affordable_later,wait,2026-06-13:111300,2026-06-13,none,Wait until 2026-06-13 to pay INR 111300 safely. Forecast keeps at least INR 59500 available.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,Pay INR 45970 today. Forecast keeps at least INR 189700 available.
request_266,935.0,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-08-03,none,Use the supplied installment schedule starting 2025-08-03. Forecast keeps at least EUR 900 available.
request_267,1614.69,not_affordable,not_recommended,none,2026-03-15,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 1500 available.
request_268,1039.42,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-14,none,Use the supplied installment schedule starting 2024-06-14. Forecast keeps at least EUR 1400 available.
request_269,0.0,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least ZAR 23100 available.
request_270,95.72,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least USD 1400 available.
request_271,5514.76,not_affordable,not_recommended,none,,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least INR 58200 available.
request_272,5987561.54,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-16,none,Use the supplied installment schedule starting 2025-02-12. Forecast keeps at least IDR 7508600 available.
request_273,9484617.27,affordable_with_plan,partial_payment,2026-04-07:9484617.27|2026-04-14:6376382.73,2026-04-14,none,Pay IDR 9484617.27 today and the balance on 2026-04-14. Forecast keeps at least IDR 18774600 available.
request_274,2086.07,not_affordable,not_recommended,none,2025-02-16,none,The request cannot be completed safely within the 90-day forecast. Forecast keeps at least EUR 1800 available.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,Pay IDR 15884000 today. Forecast keeps at least IDR 12760100 available.
